name,address,phone,category,city,url,source
Ash Trader,"hunter purra, Chambeshi, Zambia",,,chambeshi,https://www.zambiayp.com/company/16198/Ash_Trader,zambiayp.com
4mhospitals,"59, Church Road, Mogappair East , Chennai 600037, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/19477/4mhospitals,zambiayp.com
e-diplomatic.com,"Katlakalna 10, Riga, Latvia, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/16330/e_diplomaticcom,zambiayp.com
XEditpro,"46, Razzak Garden Main Rd, Ayyavoo Colony, Arumbakkam, Chennai, Tamil Nadu 600106, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/18485/XEditpro,zambiayp.com
Ayyab Store,"P.O.Box 4, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/2884/Ayyab_Store,zambiayp.com
Ayyab Stores,"Box 4, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/14100/Ayyab_Stores,zambiayp.com
Chadiza District Farmers Co-operative Union Ltd,"Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/5475/Chadiza_District_Farmers_Co_operative_Union_Ltd,zambiayp.com
Chadiza District Farmers Co-operative,"Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/7935/Chadiza_District_Farmers_Co_operative,zambiayp.com
Chadiza District Women Dev Association,"Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/12786/Chadiza_District_Women_Dev_Association,zambiayp.com
Electoral Commission,"Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/6336/Electoral_Commission,zambiayp.com
Farmers Inputs Zambia LTD,"Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/13731/Farmers_Inputs_Zambia_LTD,zambiayp.com
Munshi Store,"P.O.Box 26, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/2833/Munshi_Store,zambiayp.com
Munshi L store,"Box 250026, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/14101/Munshi_L_store,zambiayp.com
Zambia National Commercial Bank Ltd,"P.O.Box 510748, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/7064/Zambia_National_Commercial_Bank_Ltd,zambiayp.com
Zambia Telecommunication Company LTD,"Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/13315/Zambia_Telecommunication_Company_LTD,zambiayp.com
ZESCO LTD,"Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/13603/ZESCO_LTD,zambiayp.com
Chadiza Basic,"Box 520009, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9172/Chadiza_Basic,zambiayp.com
Chamandala Basic,"Box 520020, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9173/Chamandala_Basic,zambiayp.com
Chanida Basic,"Box 520062, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9174/Chanida_Basic,zambiayp.com
Chanjowe Basic,"Box 520097, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9175/Chanjowe_Basic,zambiayp.com
Chankhandwe,"Box 510252, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9190/Chankhandwe,zambiayp.com
Chilenga Basic,"Box 520080, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9176/Chilenga_Basic,zambiayp.com
Kabvumo Basic,"Box 520059, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9192/Kabvumo_Basic,zambiayp.com
Kadzionele Basic,"Box 520086, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9177/Kadzionele_Basic,zambiayp.com
Kalemba Basic,"Box 520081, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9193/Kalemba_Basic,zambiayp.com
Kapirimphika Basic,"Box 520017, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9194/Kapirimphika_Basic,zambiayp.com
Katantha Basic,"Box 520057, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9179/Katantha_Basic,zambiayp.com
Madziayela Basic,"Box 520045, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9180/Madziayela_Basic,zambiayp.com
Mangwe Basic,"Box 520045, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9181/Mangwe_Basic,zambiayp.com
Manje Basic,"Box 520100, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9182/Manje_Basic,zambiayp.com
Mkumbuzi Basic,"Box 520017, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9198/Mkumbuzi_Basic,zambiayp.com
Msokosela Basic,"Box 520090, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9200/Msokosela_Basic,zambiayp.com
Mwangazi Basic,"Box 520033, eastern Province, Chadiza, Zambia",,,chadiza,https://www.zambiayp.com/company/9201/Mwangazi_Basic,zambiayp.com
